,Age,Profession,Marrital Status,Education,No of Dependents,Personal loan,House Loan,Wife Working,Salary,Wife Salary,Total Salary,Make,Price
0,27,Salaried,Single,Post Graduate,0,Yes,No,No,800000,0,800000,i20,800000
1,35,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,1400000,600000,2000000,Ciaz,1000000
2,45,Business,Married,Graduate,4,Yes,Yes,No,1800000,0,1800000,Duster,1200000
3,41,Business,Married,Post Graduate,3,No,No,Yes,1600000,600000,2200000,City,1200000
4,31,Salaried,Married,Post Graduate,2,Yes,No,Yes,1800000,800000,2600000,SUV,1600000
5,28,Salaried,Married,Graduate,3,Yes,Yes,No,900000,0,900000,Baleno,700000
6,31,Salaried,Married,Graduate,4,No,No,Yes,1200000,600000,1800000,City,1200000
7,33,Business,Married,Post Graduate,4,No,No,No,1400000,0,1400000,Baleno,700000
8,34,Business,Married,Post Graduate,4,No,No,No,2000000,0,2000000,Verna,1100000
9,34,Salaried,Married,Graduate,3,Yes,Yes,Yes,1200000,700000,1900000,i20,800000
10,35,Salaried,Married,Post Graduate,4,No,No,Yes,1300000,700000,2000000,SUV,1600000
11,35,Salaried,Married,Graduate,4,Yes,Yes,m,1400000,0,1400000,Baleno,700000
12,29,Salaried,Married,Post Graduate,0,No,No,Yes,900000,800000,1700000,Verna,110000
13,30,Business,Single,Post Graduate,2,Yes,No,No,1400000,0,1400000,i20,800000
14,31,Business,Married,Graduate,3,Yes,Yes,Yes,900000,400000,1300000,Baleno,700000
15,49,Salaried,Married,Post Graduate,4,No,No,Yes,2500000,2000000,4500000,Luxuray,3000000
16,26,Salaried,Single,Post Graduate,0,No,No,No,800000,0,800000,i20,800000
17,27,Salaried,Single,Graduate,0,Yes,No,Yes,800000,0,800000,Baleno,700000
18,29,Salaried,Single,Post Graduate,2,No,No,No,900000,0,900000,City,1200000
19,30,Salaried,Married,Graduate,0,No,No,Yes,800000,500000,1300000,Baleno,700000
20,37,Salaried,Married,Post Graduate,3,No,Yes,Yes,1700000,800000,2500000,City,1200000
21,35,Business,Married,Graduate,3,No,Yes,Yes,1100000,800000,1900000,i20,800000
22,36,Business,Married,Graduate,3,No,No,Yes,1400000,1000000,2400000,SUV,1600000
23,35,Business,Married,Post Graduate,4,No,No,Yes,900000,500000,1400000,Baleno,700000
24,35,Salaried,Married,Graduate,3,Yes,No,Yes,1400000,600000,2000000,Ciaz,1100000
25,35,Salaried,Married,Graduate,2,No,No,Yes,1800000,1100000,2900000,SUV,1600000
26,35,Salaried,Married,Post Graduate,4,Yes,Yes,No,1300000,0,1300000,Baleno,700000
27,36,Business,Married,Graduate,3,No,No,No,1600000,0,1600000,i20,800000
28,36,Salaried,Married,Post Graduate,3,Yes,Yes,Yes,1700000,900000,2600000,Verna,1200000
29,36,Salaried,Married,Post Graduate,2,No,No,Yes,1800000,900000,2700000,SUV,1600000
30,41,Business,Married,Graduate,3,No,No,No,1100000,0,1100000,Baleno,700000
31,41,Salaried,Married,Graduate,3,No,No,Yes,1400000,700000,2100000,Duster,1300000
32,41,Salaried,Married,Post Graduate,4,No,Yes,Yes,1900000,1100000,3000000,Creata,1500000
33,43,Business,Married,Graduate,3,No,No,Yes,1300000,900000,2200000,Creata,1500000
