,Sl. No.,Category,Vehicle Class,Total Registered on VAHAN 4.0
0,1,Transport Vehicles ,Motor Cycle/Scooter-SideCar (T),8
1,2,Transport Vehicles ,Motor Cycle/Scooter-Used For Hire,4468
2,3,Transport Vehicles ,E-Rickshaw (P),495781
3,4,Transport Vehicles ,E-Rickshaw with Cart (G),21871
4,5,Transport Vehicles ,Three Wheeler (Goods),2630
5,6,Transport Vehicles ,Three Wheeler (Passenger),18268
6,7,Transport Vehicles ,Luxury Cab,70
7,8,Transport Vehicles ,Maxi Cab,158
8,9,Transport Vehicles ,Motor Cab,3267
9,10,Transport Vehicles ,Omni Bus,65
10,11,Transport Vehicles ,Bus,1298
11,12,Transport Vehicles ,Educational Institution Bus,9
12,13,Transport Vehicles ,Goods Carrier,2591
13,14,Transport Vehicles ,Private Service Vehicle,7
14,Grand Total,Transport Vehicles ,Grand Total,550491
15,1,Non-Transport Vehicles,M-Cycle/Scooter,135691
16,2,Non-Transport Vehicles,M-Cycle/Scooter-With Side Car,121
17,3,Non-Transport Vehicles,Motorised Cycle (CC > 25cc),4246
18,4,Non-Transport Vehicles,Moped,13001
19,5,Non-Transport Vehicles,Motor Car,15700
20,6,Non-Transport Vehicles,Adapted Vehicle,62
21,7,Non-Transport Vehicles,Three Wheeler (Personal),300
22,8,Non-Transport Vehicles,Omni Bus (Private Use),14
23,9,Non-Transport Vehicles,Private Service Vehicle (Individual Use),11
24,10,Non-Transport Vehicles,Construction Equipment Vehicle,489
25,11,Non-Transport Vehicles,Fork Lift,334
26,Grand Total,Non-Transport Vehicles,Grand Total,169969
