,Sl. No.,State/UT,Total Number of Invoice/Sales
0,1,Jammu Kashmir,437
1,2,Himachal Pradesh,241
2,3,Punjab,764
3,4,Chandigarh,48
4,5,Uttarakhand,1057
5,6,Haryana,1477
6,7,Delhi,6413
7,8,Rajasthan,6721
8,9,Uttar Pradesh,6022
9,10,Bihar,2615
10,11,Sikkim,0
11,12,Arunachal Pradesh,0
12,13,Nagaland,0
13,14,Manipur,78
14,15,Mizoram,0
15,16,Tripura,538
16,17,Meghalaya,6
17,18,Assam,407
18,19,West Bengal,771
19,20,Jharkhand,817
20,21,Odisha,1671
21,22,Chhattisgarh,2055
22,23,Madhya Pradesh,2953
23,24,Gujarat,1554
24,25,Maharashtra,9393
25,26,Andhra Pradesh,3325
26,27,Karnataka,19270
27,28,Goa,241
28,29,Lakshadweep,4
29,30,Kerala,2068
30,31,Tamilnadu,13515
31,32,Puducherry,138
32,33,Andaman and Nicobar Islands,2
33,34,Telangana,3031
34,35,Ladakh,0
35,36,The Dadra and Nagar Haveli and Daman and Diu,27
36,Total,Total,87659
